draw_no,draw_date,main,supp,powerball,source
255,2001-04-05,2 13 17 22 33,,37,archive
256,2001-04-12,19 24 33 35 41,,9,archive
257,2001-04-19,29 30 31 37 41,,19,archive
258,2001-04-26,6 19 26 34 40,,16,archive
259,2001-05-03,10 11 28 32 37,,3,archive
260,2001-05-10,7 13 18 40 42,,7,archive
261,2001-05-17,1 5 6 25 34,,15,archive
262,2001-05-24,11 19 20 22 23,,45,archive
263,2001-05-31,5 10 13 14 44,,19,archive
264,2001-06-07,3 27 32 40 41,,22,archive
265,2001-06-14,3 16 24 26 40,,19,archive
266,2001-06-21,6 14 22 37 42,,4,archive
267,2001-06-28,2 13 23 24 35,,15,archive
268,2001-07-05,15 26 43 44 45,,15,archive
269,2001-07-12,35 36 37 40 43,,15,archive
270,2001-07-19,4 13 25 28 37,,29,archive
271,2001-07-26,11 12 25 30 37,,30,archive
272,2001-08-02,4 16 23 25 26,,36,archive
273,2001-08-09,1 15 16 21 41,,6,archive
274,2001-08-16,5 8 29 41 43,,45,archive
275,2001-08-23,13 26 29 31 36,,28,archive
276,2001-08-30,6 19 27 42 44,,26,archive
277,2001-09-06,4 10 21 24 42,,7,archive
278,2001-09-13,8 9 13 23 25,,35,archive
279,2001-09-20,3 5 38 41 45,,28,archive
280,2001-09-27,6 13 20 34 45,,33,archive
281,2001-10-04,7 9 28 36 38,,32,archive
282,2001-10-11,12 19 21 25 44,,19,archive
283,2001-10-18,1 2 7 10 14,,44,archive
284,2001-10-25,3 14 18 23 30,,28,archive
285,2001-11-01,2 5 20 21 38,,40,archive
286,2001-11-08,3 8 13 33 37,,26,archive
287,2001-11-15,4 13 16 22 26,,11,archive
288,2001-11-22,2 4 21 24 28,,23,archive
289,2001-11-29,6 9 15 27 37,,35,archive
290,2001-12-06,1 14 29 30 33,,43,archive
291,2001-12-13,7 18 27 28 38,,32,archive
292,2001-12-20,2 6 15 22 30,,4,archive
293,2001-12-27,2 23 36 38 40,,14,archive
294,2002-01-03,3 6 15 35 43,,19,archive
295,2002-01-10,2 4 13 24 44,,15,archive
296,2002-01-17,4 7 18 21 31,,14,archive
297,2002-01-24,11 23 24 29 32,,17,archive
298,2002-01-31,1 2 4 26 28,,33,archive
299,2002-02-07,21 22 27 34 44,,33,archive
300,2002-02-14,11 15 17 27 40,,8,archive
301,2002-02-21,2 16 19 29 43,,5,archive
302,2002-02-28,7 14 22 37 43,,40,archive
303,2002-03-07,6 20 22 32 44,,39,archive
304,2002-03-14,12 26 28 39 40,,2,archive
305,2002-03-21,1 22 34 36 42,,18,archive
306,2002-03-28,4 32 39 42 44,,27,archive
307,2002-04-04,10 15 29 40 41,,23,archive
308,2002-04-11,6 17 19 25 44,,28,archive
309,2002-04-18,7 18 20 31 34,,19,archive
310,2002-04-25,5 18 27 31 42,,25,archive
311,2002-05-02,5 18 20 24 45,,28,archive
312,2002-05-09,14 23 36 41 43,,39,archive
313,2002-05-16,3 8 13 15 28,,40,archive
314,2002-05-23,12 17 18 19 32,,11,archive
315,2002-05-30,9 15 34 42 45,,4,archive
316,2002-06-06,3 6 30 32 42,,37,archive
317,2002-06-13,9 15 21 22 44,,9,archive
318,2002-06-20,10 16 23 24 33,,16,archive
319,2002-06-27,8 12 20 42 45,,1,archive
320,2002-07-04,10 11 21 36 43,,21,archive
321,2002-07-11,20 26 27 34 41,,26,archive
322,2002-07-18,12 36 37 40 45,,19,archive
323,2002-07-25,33 34 38 39 41,,20,archive
324,2002-08-01,2 13 14 23 31,,31,archive
325,2002-08-08,3 14 16 21 42,,3,archive
326,2002-08-15,6 15 32 36 41,,26,archive
327,2002-08-22,16 18 29 36 39,,33,archive
